"Add to Cart ","In den Einkaufswagen"
"You may also be interested in the following product(s)","Kunden, die diesen Artikel angesehen haben, interessierten sich auch für"
"You may be interested in:","Diese Produkte könnten Sie ebenfalls interessieren:"
"Your order has been received","Vielen Dank für Ihre Bestellung"
"You will be redirected to XT Payments Checkout website when you place an order.","Wenn Sie eine Bestellung aufgeben, werden Sie automatisch auf die Seite unseres Payment Service Providers weitergeleitet, um die Bestellung abzuschließen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten eine Bestellbestätigung per E-Mail mit weiteren Informationen."
"Wishlist", "Wunschzettel"
"Warranty:","Garantie:"
"% products","% Artikel"
"%s Item(s)","%s Artikel"
"(for check back)","(für Rückfragen)"
"Shopping Options","Filtermöglichkeiten"
"Currently Shopping by","aktuelle Filterauswahl"
"An error occured during payment process. Please try another payment method","<div>
<p>Leider lehnt unser Partner für Rechnungskauf BillSAFE Ihre Zahlung ab. Die Gründe dafür können sehr vielfältig sein, sind uns aber leider nicht bekannt.</p>
<p>Damit Sie Ihren Einkauf dennoch erfolgreich abschließen können, bieten wir Ihnen folgende <a href=""/faq-zahlung/"" title=""Unsere Zahlungsmethoden"">Zahlungsmethoden als Alternative an: Sofortüberweisung, PayPal, Kreditkarte, Barzahlen oder Klassisch per Vorkasse</a></p>
<p>Für weitere Fragen stehen wir Ihnen gerne per Mail unter <a href=""/kontakt/"" title=""Kontaktieren Sie uns"">support@perfekt-schlafen.de</a> oder per Telefon unter 030 200970033 zur Verfügung.</p>
</div>"
"coupon-error-idealo","Der Gutschein-Code ist aktuell, kann aber nicht eingelöst werden. Unser telefonischer Support (030) 200 97 00 33 wird Ihnen gern helfen die Bestellung abzuschließen.<br>Danke für Ihr Verständnis."
"Coupon sub rule non-valid.","Ihr aktueller Warenkorb erfüllt nicht alle Voraussetzungen, um den Gutscheincode '%s' einzulösen. Häufige Ursachen sind z.B. Gutscheine für speziellen Marken. Unser telefonischer Support (030) 200 97 00 33 wird Ihnen bei Bedarf gern helfen."
"Coupon code '%s' is not valid.","Der Gutschein-Code '%s' ist uns nicht bekannt."
